planet,planet_en,sign,sign_en,keyword,personality,strengths,weaknesses,life_theme,love_style,career,element,modality,ruling_planet,famous_examples
太陽,Sun,牡羊座,Aries,開拓者・先駆者・行動力,太陽牡羊座の人は、エネルギーに満ち溢れた開拓者です。物事を真っ先に始める勇気と推進力を持ち、新しいことへの挑戦を恐れません。競争心が強く、常にトップを目指す姿勢は周囲を鼓舞します。衝動的で短気な面もありますが、その情熱と直接性は人を引きつける魅力でもあります。リーダーシップを発揮し、困難な状況でも果敢に立ち向かいます。,行動力・勇気・情熱・リーダーシップ・独立心・開拓精神,短気・衝動的・自己中心的・忍耐力不足・無謀,自己発見と独立。自分自身の力で道を切り開き、先駆者として生きること。,情熱的で直接的なアプローチ。追いかけることが好きで、恋愛に全力投球する。ただし飽きやすく、刺激がなくなると関心が薄れることも。,起業家・スポーツ選手・軍人・消防士・パイロット・外科医など、スピードと決断力が求められる職業に向く。,火,活動宮,火星,マライア・キャリー、セリーヌ・ディオン、エルトン・ジョン
太陽,Sun,牡牛座,Taurus,安定・感覚・忍耐・豊かさ,太陽牡牛座の人は、地に足のついた安定志向の人物です。五感を大切にし、美しいもの・おいしいもの・心地よいものへの感受性が高い。忍耐強く、一度決めたことは粘り強くやり遂げる意志の強さを持ちます。変化を好まず保守的な面もありますが、それは信頼性と一貫性の表れでもあります。物質的な豊かさを大切にし、経済的な安定を人生の基盤とします。,忍耐力・信頼性・実用性・美的センス・粘り強さ・安定感,頑固・変化への抵抗・物質主義・嫉妬心・怠惰になりやすい,物質的・精神的な豊かさの構築。安定した基盤の上に美しい人生を築くこと。,ゆっくりと関係を深める慎重派。一度愛したら深く長く愛し続ける。官能的で肉体的な愛情表現を好む。嫉妬深い一面も。,料理人・音楽家・芸術家・銀行家・不動産業・農業・美容師など、感覚と安定が求められる職業に向く。,地,不動宮,金星,アデル、ジェシカ・アルバ、ジョージ・クルーニー
太陽,Sun,双子座,Gemini,知性・コミュニケーション・多才・好奇心,太陽双子座の人は、知的好奇心旺盛で多才な人物です。素早い思考と言語能力に優れ、どんな話題にも対応できる柔軟性を持ちます。社交的で人との交流を楽しみ、情報収集と共有が得意です。二面性を持つことで知られ、状況に応じて異なる顔を見せることがあります。飽きやすく、複数のことを同時進行させる傾向があります。,知性・コミュニケーション力・適応力・多才・機知・社交性,一貫性のなさ・二面性・飽きやすさ・表面的・優柔不断,情報と知識の収集・共有。多様な経験を通じて知的に成長すること。,知的刺激を求める恋愛スタイル。会話が弾む相手に惹かれる。コミットメントが苦手で、自由を大切にする。,ジャーナリスト・作家・教師・営業・通訳・IT・マーケター・コメディアンなど、言葉と情報を扱う職業に向く。,風,柔軟宮,水星,マリリン・モンロー、アンジェリーナ・ジョリー、カニエ・ウェスト
太陽,Sun,蟹座,Cancer,感受性・家族・保護・直感,太陽蟹座の人は、深い感受性と強い直感を持つ、感情豊かな人物です。家族や故郷への愛着が強く、大切な人を守ることに喜びを感じます。共感力が高く、人の気持ちを敏感に察知します。外見は硬い殻で自分を守りますが、内側には柔らかく温かい心があります。過去の記憶を大切にし、感情的な安全を常に求めます。,共感力・直感力・保護本能・記憶力・忠誠心・創造性,気分屋・過保護・執着心・傷つきやすさ・引きこもり傾向,感情的な安全と家族の絆。愛する人を育み、守ること。,深く献身的な愛情。パートナーを家族のように大切にする。感情的な繋がりを最重視し、安心感を求める。,保育士・看護師・料理人・歴史家・不動産業・心理士・社会福祉士など、ケアと保護に関わる職業に向く。,水,活動宮,月,プリンセス・ダイアナ、セレーナ・ゴメス、エロン・マスク
太陽,Sun,獅子座,Leo,創造性・表現・誇り・カリスマ,太陽獅子座の人は、生まれながらのパフォーマーであり、自己表現への強い欲求を持ちます。カリスマ的な存在感で周囲を惹きつけ、注目を浴びることに喜びを感じます。寛大で温かく、愛する人に惜しみなく与えます。誇り高く、自尊心が強い反面、承認欲求が高い面もあります。創造的な才能に恵まれ、芸術や娯楽の分野で輝きます。,カリスマ・創造性・寛大さ・リーダーシップ・自信・温かさ,傲慢・承認欲求・頑固・自己中心的・プライドが高すぎる,自己表現と創造。自分の輝きを世界に示し、人々を鼓舞すること。,ドラマチックで情熱的な恋愛。パートナーを王様・女王様のように扱い、自分もそう扱われることを望む。ロマンスと特別感を大切にする。,俳優・アーティスト・政治家・CEO・エンターテイナー・デザイナーなど、舞台と表現の場に向く。,火,不動宮,太陽,マドンナ、バラク・オバマ、ココ・シャネル
太陽,Sun,乙女座,Virgo,分析・完璧主義・奉仕・実用性,太陽乙女座の人は、鋭い分析力と細部への注意力を持つ完璧主義者です。物事を体系的に整理し、効率と実用性を重視します。奉仕精神が旺盛で、人の役に立つことに喜びを感じます。批判的思考が強く、自分にも他者にも高い基準を求めます。謙虚で控えめな外見の裏に、深い知性と洞察力を秘めています。,分析力・几帳面さ・奉仕精神・実用性・誠実さ・知性,完璧主義による不安・批判的・心配性・自己批判・融通が利かない,改善と奉仕。世界をより良くするために、細部まで丁寧に取り組むこと。,慎重で控えめなアプローチ。信頼を築いてから深い関係へ。パートナーへの奉仕と実用的なサポートで愛情を表現する。,医師・栄養士・編集者・会計士・研究者・プログラマー・薬剤師など、精密さと分析が求められる職業に向く。,地,柔軟宮,水星,ビヨンセ、マイケル・ジャクソン、フレディ・マーキュリー
太陽,Sun,天秤座,Libra,調和・美・公正・パートナーシップ,太陽天秤座の人は、美と調和を愛する外交官です。公正さを重んじ、対立を避けてバランスを保とうとします。社交的で魅力的な人柄は多くの人を惹きつけます。優柔不断な面もありますが、それは全ての側面を公平に見ようとする姿勢の表れです。パートナーシップを人生の中心に置き、二人で共に成長することを理想とします。,外交力・公正さ・美的センス・社交性・協調性・魅力,優柔不断・依存的・対立回避・表面的・自分の意見を持てない,調和とパートナーシップ。美しい関係を築き、世界に公正さをもたらすこと。,ロマンティックで理想主義的。美しい恋愛を求め、パートナーとの調和を最重視する。一人でいることが苦手で、常に誰かと一緒にいたがる。,弁護士・外交官・デザイナー・カウンセラー・ファッション業界・仲裁人など、調和と美を扱う職業に向く。,風,活動宮,金星,ドレイク、エミネム、ジェニファー・ロペス
太陽,Sun,蠍座,Scorpio,変容・深さ・洞察・情熱・神秘,太陽蠍座の人は、深い洞察力と強烈な感情を持つ、謎めいた存在です。表面には見せない深い内面世界を持ち、人の本質を見抜く力があります。一度決めたことへの執着と意志の強さは並外れています。変容と再生を繰り返しながら成長し、人生の深淵に向き合う勇気があります。忠誠心が強い反面、裏切りには容赦しません。,洞察力・意志力・情熱・変容力・忠誠心・探究心,執念深さ・嫉妬・秘密主義・支配欲・復讐心,変容と再生。人生の深い真実を探求し、魂のレベルで成長すること。,全か無かの激しい恋愛。魂の深いところで繋がることを求める。嫉妬深く独占欲が強いが、その分深く愛する。,心理士・探偵・外科医・研究者・投資家・占術師・刑事など、深い探求と変容に関わる職業に向く。,水,不動宮,冥王星（伝統的には火星）,ライアン・ゴズリング、ジュリア・ロバーツ、ビル・ゲイツ
太陽,Sun,射手座,Sagittarius,自由・冒険・哲学・楽観主義,太陽射手座の人は、自由を愛する冒険家であり哲学者です。広い視野と楽観的な世界観を持ち、人生を壮大な旅として捉えます。知識と真理の探求に情熱を燃やし、異文化への関心も強い。率直で正直な発言は時に無神経に見えることもありますが、その誠実さは信頼を生みます。束縛を嫌い、常に新しい地平を求めて前進します。,楽観主義・冒険心・哲学的思考・率直さ・自由への愛・広い視野,無責任・無神経・約束を守らない・過信・落ち着きのなさ,自由と真理の探求。世界を旅し、知恵を広め、人生の意味を見出すこと。,自由奔放で束縛を嫌う。知的に刺激し合える相手を求める。冒険と成長を共にできるパートナーシップを理想とする。,旅行業・教授・哲学者・宗教家・弁護士・出版業・コーチなど、知識と自由を扱う職業に向く。,火,柔軟宮,木星,テイラー・スウィフト、ブリトニー・スピアーズ、ニッキー・ミナージュ
太陽,Sun,山羊座,Capricorn,野心・規律・責任・達成,太陽山羊座の人は、野心的で規律正しい、社会的な達成者です。長期的な目標に向かって着実に努力を積み重ねる忍耐力と自制心を持ちます。責任感が強く、信頼される存在として社会的な地位を築きます。実用的で現実的な思考を持ち、感情よりも理性を優先しがちです。年を重ねるにつれて、より軽やかで温かい面が現れてきます。,野心・規律・責任感・忍耐力・実用性・信頼性,冷淡・仕事中毒・悲観的・権威主義・感情表現が苦手,社会的達成と責任。努力と規律を通じて頂点を目指し、社会に貢献すること。,慎重で伝統的な恋愛スタイル。長期的な安定を求め、パートナーへの責任を大切にする。感情表現は控えめだが、深く誠実に愛する。,経営者・政治家・建築家・会計士・医師・管理職など、権威と責任が伴う職業に向く。,地,活動宮,土星,デヴィッド・ボウイ、ミシェル・オバマ、ジム・キャリー
太陽,Sun,水瓶座,Aquarius,革新・独立・人道主義・独自性,太陽水瓶座の人は、時代の先を行く革新者であり、人道主義者です。独自の視点と独立した思考で、既存の枠組みに縛られません。社会全体の改善に関心を持ち、集団の利益のために行動します。個性的で予測不可能な面がありますが、それが彼らの魅力でもあります。感情よりも知性を重視し、客観的な視点を保ちます。,独創性・人道主義・革新性・客観性・独立心・先見性,感情的な距離感・反抗的・頑固・孤立しやすい・非現実的,革新と人類への貢献。既存の枠を超え、より良い未来を創造すること。,友情から始まる恋愛を好む。知的な繋がりを最重視し、自由と独立を尊重し合える関係を求める。感情的な親密さは苦手。,科学者・発明家・IT技術者・社会活動家・占星術師・航空宇宙など、革新と社会変革に関わる職業に向く。,風,不動宮,天王星（伝統的には土星）,オプラ・ウィンフリー、ハリー・スタイルズ、ジャスティン・ティンバーレイク
太陽,Sun,魚座,Pisces,共感・直感・霊性・夢想・芸術,太陽魚座の人は、深い共感力と豊かな想像力を持つ、夢想家です。現実と夢想の境界が曖昧で、芸術・音楽・スピリチュアルな世界に親和性があります。他者の痛みを自分のことのように感じる共感力は、癒しの力となります。境界線が薄いため、周囲のエネルギーに影響されやすい面もあります。無限の慈悲と愛を持ち、人類全体への奉仕を使命とします。,共感力・直感力・芸術性・霊性・慈悲心・適応力,現実逃避・境界線の薄さ・優柔不断・自己犠牲・依存傾向,霊的な成長と無条件の愛。夢と現実を橋渡しし、人類に癒しをもたらすこと。,ロマンティックで理想主義的。魂の繋がりを求め、無条件の愛を与える。相手に溶け込みすぎて自分を失うことも。,芸術家・音楽家・医療従事者・スピリチュアルカウンセラー・映画監督・慈善活動家など、癒しと芸術に関わる職業に向く。,水,柔軟宮,海王星（伝統的には木星）,リアーナ、スティーブ・ジョブズ、ジャスティン・ビーバー
