planet,planet_en,sign,sign_en,years,keyword,generation_theme,world_events,generation_traits,collective_challenge,dignity
天王星,Uranus,牡羊座,Aries,2010-2018,個人の革命・自己革新,個人のアイデンティティと自己表現における革命。テクノロジーと個人の力の融合。,スマートフォン革命・ソーシャルメディアの台頭・個人の発信力の爆発的拡大,自己主張が強く、個人の力を信じる世代。デジタルネイティブとして革新的なアイデアを持つ。,個人主義と集団の調和のバランス,なし（ペレグリン）
天王星,Uranus,牡牛座,Taurus,2018-2026,経済・物質的価値の革命,経済システムと物質的な価値観における根本的な変革。,仮想通貨・フィンテック革命・持続可能な経済への移行・土地と資源の再定義,経済的な革新者。持続可能性と新しい価値観を持つ世代。,経済的な不安定と新しい豊かさの定義,なし（ペレグリン）
天王星,Uranus,双子座,Gemini,1942-1949 / 2026-2033,コミュニケーション・情報の革命,コミュニケーションと情報伝達における根本的な変革。,メディア革命・情報技術の変革・新しいコミュニケーション手段の出現,革新的なコミュニケーターと情報処理者の世代。,情報の過負荷と真実の識別,なし（ペレグリン）
天王星,Uranus,蟹座,Cancer,1949-1956,家族・家庭の革命,家族構造と家庭生活における根本的な変革。,核家族の台頭・郊外化・家庭の役割の変化,伝統的な家族観に疑問を持ち、新しい家族の形を模索する世代（ベビーブーマー前期）。,伝統的な家族構造と現代的な家族の形のバランス,なし（ペレグリン）
天王星,Uranus,獅子座,Leo,1956-1962,創造性・自己表現の革命,創造性と自己表現における根本的な変革。,ロックンロール革命・テレビの普及・若者文化の台頭,創造的な自己表現を重視し、エンターテインメントと芸術で世界を変えた世代（ベビーブーマー後期）。,個人の表現と社会的な規範のバランス,なし（ペレグリン）
天王星,Uranus,乙女座,Virgo,1962-1968,健康・仕事・奉仕の革命,健康・仕事・奉仕における根本的な変革。,公民権運動・環境運動の台頭・健康への意識の変化,社会的な奉仕と改善を重視する世代（ジェネレーションX前期）。,完璧主義と実用性のバランス,なし（ペレグリン）
天王星,Uranus,天秤座,Libra,1968-1975,関係性・法・芸術の革命,関係性・法律・芸術における根本的な変革。,離婚率の上昇・フェミニズム運動・国際法の変化,関係性と公正さを革新的に捉える世代（ジェネレーションX）。,個人の自由とパートナーシップの責任のバランス,なし（ペレグリン）
天王星,Uranus,蠍座,Scorpio,1975-1981,変容・権力・性の革命,権力・変容・性における根本的な変革。,性革命の深化・心理学の普及・核の脅威への意識,深い変容と権力の再定義を求める世代（ジェネレーションX後期）。,権力の誤用と真の変容のバランス,なし（ペレグリン）
天王星,Uranus,射手座,Sagittarius,1981-1988,信念・哲学・グローバル化の革命,信念・哲学・グローバル化における根本的な変革。,グローバル化の加速・宗教的な多様性・インターネットの萌芽,グローバルな視野と多様な信念を持つ世代（ミレニアル世代前期）。,多様な信念の共存と哲学的な統合,なし（ペレグリン）
天王星,Uranus,山羊座,Capricorn,1988-1996,社会構造・権威の革命,社会構造・権威・ビジネスにおける根本的な変革。,冷戦終結・ソ連崩壊・インターネット革命・グローバル経済の変化,権威と社会構造を革新的に変える世代（ミレニアル世代）。,伝統的な権威への挑戦と新しい社会構造の構築,なし（ペレグリン）
天王星,Uranus,水瓶座,Aquarius,1996-2003,テクノロジー・人道主義の革命,テクノロジーと人道主義における根本的な変革。,インターネット革命・SNSの誕生・グローバルな人道主義運動,テクノロジーと人道主義を融合させる世代（ジェネレーションZ前期）。,テクノロジーの恩恵と人間性の維持のバランス,ドミサイル（支配）
天王星,Uranus,魚座,Pisces,2003-2010,霊性・芸術・幻想の革命,霊性・芸術・幻想における根本的な変革。,スピリチュアルブーム・デジタルアートの台頭・現実と仮想の境界の曖昧化,霊的な感受性と芸術的な革新性を持つ世代（ジェネレーションZ後期）。,現実と幻想のバランス・霊的な責任,なし（ペレグリン）
