sign_en,sign_ja,decan_number,degree_range,ruler_en,ruler_ja,description_ja
Aries,牡羊座,1,0°-9°59',Aries/Mars,牡羊座・火星,最も純粋な牡羊座のエネルギー。積極性・勇気・開拓精神が強く表れる。
Aries,牡羊座,2,10°-19°59',Leo/Sun,獅子座・太陽,創造性とリーダーシップが加わる。自己表現と情熱が強まる。
Aries,牡羊座,3,20°-29°59',Sagittarius/Jupiter,射手座・木星,哲学的な探求心と楽観主義が加わる。冒険心と理想主義が強まる。
Taurus,牡牛座,1,0°-9°59',Taurus/Venus,牡牛座・金星,最も純粋な牡牛座のエネルギー。安定・官能性・物質的豊かさが強く表れる。
Taurus,牡牛座,2,10°-19°59',Virgo/Mercury,乙女座・水星,分析力と実用性が加わる。細部への注意と奉仕精神が強まる。
Taurus,牡牛座,3,20°-29°59',Capricorn/Saturn,山羊座・土星,野心と規律が加わる。物質的な達成と長期的な計画が強まる。
Gemini,双子座,1,0°-9°59',Gemini/Mercury,双子座・水星,最も純粋な双子座のエネルギー。コミュニケーション・知性・多才さが強く表れる。
Gemini,双子座,2,10°-19°59',Libra/Venus,天秤座・金星,美的センスと社交性が加わる。調和と関係性への関心が強まる。
Gemini,双子座,3,20°-29°59',Aquarius/Uranus,水瓶座・天王星,革新性と人道主義が加わる。独創的な思考と社会への関心が強まる。
Cancer,蟹座,1,0°-9°59',Cancer/Moon,蟹座・月,最も純粋な蟹座のエネルギー。感情・直感・家族への愛が強く表れる。
Cancer,蟹座,2,10°-19°59',Scorpio/Pluto,蠍座・冥王星,深い感情と変容のエネルギーが加わる。心理的な洞察力が強まる。
Cancer,蟹座,3,20°-29°59',Pisces/Neptune,魚座・海王星,霊的な感受性と共感力が加わる。直感と芸術的感受性が強まる。
Leo,獅子座,1,0°-9°59',Leo/Sun,獅子座・太陽,最も純粋な獅子座のエネルギー。カリスマ・創造性・リーダーシップが強く表れる。
Leo,獅子座,2,10°-19°59',Sagittarius/Jupiter,射手座・木星,哲学的な拡大と楽観主義が加わる。理想主義と高い目標が強まる。
Leo,獅子座,3,20°-29°59',Aries/Mars,牡羊座・火星,行動力と積極性が加わる。競争心とパイオニア精神が強まる。
Virgo,乙女座,1,0°-9°59',Virgo/Mercury,乙女座・水星,最も純粋な乙女座のエネルギー。分析力・勤勉さ・完璧主義が強く表れる。
Virgo,乙女座,2,10°-19°59',Capricorn/Saturn,山羊座・土星,野心と規律が加わる。実用的な達成と責任感が強まる。
Virgo,乙女座,3,20°-29°59',Taurus/Venus,牡牛座・金星,美的センスと感覚的な快楽が加わる。実用性と美の融合が強まる。
Libra,天秤座,1,0°-9°59',Libra/Venus,天秤座・金星,最も純粋な天秤座のエネルギー。調和・美・パートナーシップが強く表れる。
Libra,天秤座,2,10°-19°59',Aquarius/Uranus,水瓶座・天王星,革新性と人道主義が加わる。社会的な公正と独創性が強まる。
Libra,天秤座,3,20°-29°59',Gemini/Mercury,双子座・水星,コミュニケーション能力が加わる。知的な交流と多様な視点が強まる。
Scorpio,蠍座,1,0°-9°59',Scorpio/Pluto,蠍座・冥王星,最も純粋な蠍座のエネルギー。変容・強烈さ・深層心理が強く表れる。
Scorpio,蠍座,2,10°-19°59',Pisces/Neptune,魚座・海王星,霊的な感受性と直感が加わる。神秘と霊的な深みが強まる。
Scorpio,蠍座,3,20°-29°59',Cancer/Moon,蟹座・月,感情的な深さと保護本能が加わる。感情と変容のエネルギーが融合する。
Sagittarius,射手座,1,0°-9°59',Sagittarius/Jupiter,射手座・木星,最も純粋な射手座のエネルギー。自由・哲学・冒険が強く表れる。
Sagittarius,射手座,2,10°-19°59',Aries/Mars,牡羊座・火星,行動力と積極性が加わる。理想に向けた積極的な行動が強まる。
Sagittarius,射手座,3,20°-29°59',Leo/Sun,獅子座・太陽,カリスマと創造性が加わる。哲学的な表現と自己表現が強まる。
Capricorn,山羊座,1,0°-9°59',Capricorn/Saturn,山羊座・土星,最も純粋な山羊座のエネルギー。野心・規律・責任感が強く表れる。
Capricorn,山羊座,2,10°-19°59',Taurus/Venus,牡牛座・金星,美的センスと物質的豊かさが加わる。実用性と美の融合が強まる。
Capricorn,山羊座,3,20°-29°59',Virgo/Mercury,乙女座・水星,分析力と奉仕精神が加わる。実用的な知性と完璧主義が強まる。
Aquarius,水瓶座,1,0°-9°59',Aquarius/Uranus,水瓶座・天王星,最も純粋な水瓶座のエネルギー。革新・人道主義・独創性が強く表れる。
Aquarius,水瓶座,2,10°-19°59',Gemini/Mercury,双子座・水星,コミュニケーション能力が加わる。知的な革新と情報共有が強まる。
Aquarius,水瓶座,3,20°-29°59',Libra/Venus,天秤座・金星,美的センスと社交性が加わる。社会的な調和と美的な革新が強まる。
Pisces,魚座,1,0°-9°59',Pisces/Neptune,魚座・海王星,最も純粋な魚座のエネルギー。霊性・直感・共感力が強く表れる。
Pisces,魚座,2,10°-19°59',Cancer/Moon,蟹座・月,感情的な深さと保護本能が加わる。感情と霊性の融合が強まる。
Pisces,魚座,3,20°-29°59',Scorpio/Pluto,蠍座・冥王星,変容のエネルギーと深層心理が加わる。霊的な変容と深い洞察が強まる。
