planet,planet_en,house,house_name,keyword,interpretation,thinking_style,communication
水星,Mercury,1,第1ハウス（自己・外見・人生の始まり）,知的な自己表現・分析的な外見,水星が第1ハウスにある人は、知的で分析的な印象を与えます。言葉と思考が自己表現の核となり、素早い思考と機敏な反応が特徴です。コミュニケーション能力が外見の一部として機能します。,分析的・機敏・言語的,直接的で知的なコミュニケーション
水星,Mercury,2,第2ハウス（財産・価値観・自己価値）,財産についての思考・価値観の分析,水星が第2ハウスにある人は、財産と価値観について深く考えます。お金の管理に知的なアプローチをとり、価値あるものを言葉や情報で生み出す才能があります。ライティングや教育で収益を得ることができます。,実用的・価値志向・財務的,価値と財産についての知的な議論
水星,Mercury,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,コミュニケーションの才能・知識の中心,水星が第3ハウスにある人は、水星のドミサイルである双子座を支配するハウスに位置し、最も強力に機能します。コミュニケーションと学習に卓越した才能を持ち、言葉と情報を自在に操ります。,多才・好奇心旺盛・情報処理が速い,多様で機敏なコミュニケーション
水星,Mercury,4,第4ハウス（家族・家庭・ルーツ）,家族についての思考・ルーツの分析,水星が第4ハウスにある人は、家族とルーツについて深く考えます。家庭環境が知的な発達に大きな影響を与え、家族とのコミュニケーションが重要です。歴史と伝統を知的に探求します。,内省的・歴史的・家族志向,家族との深いコミュニケーション
水星,Mercury,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造的な知性・恋愛の言語,水星が第5ハウスにある人は、創造的な知性と遊び心のある思考を持ちます。言葉と知性で恋愛を楽しみ、創造的な執筆や芸術的な表現に才能があります。,創造的・遊び心がある・表現的,遊び心と創造性のあるコミュニケーション
水星,Mercury,6,第6ハウス（仕事・健康・日常・奉仕）,分析的な仕事・健康についての思考,水星が第6ハウスにある人は、仕事と健康について分析的に考えます。細部への注意と実用的な問題解決能力が高く、健康管理に知的なアプローチをとります。,分析的・実用的・細部志向,実用的で詳細なコミュニケーション
水星,Mercury,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップの知性・関係の分析,水星が第7ハウスにある人は、パートナーシップと公的な関係について深く考えます。知的なパートナーを引き寄せ、対話と議論を通じて関係を深めます。,関係志向・外交的・バランス重視,パートナーとの知的な対話
水星,Mercury,8,第8ハウス（変容・共有の資源・死と再生・性）,深い探求の知性・変容の分析,水星が第8ハウスにある人は、深い真実と変容について探求します。心理学・神秘学・隠れた知識への強い関心を持ち、深い洞察力があります。,深く探求的・心理的・秘密志向,深く洞察力のあるコミュニケーション
水星,Mercury,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学的な知性・広い視野の思考,水星が第9ハウスにある人は、哲学と広い視野で考えます。高等教育・旅行・異文化への強い関心を持ち、大きな絵を描く思考が得意です。,哲学的・広視野・楽観的,哲学的で広い視野のコミュニケーション
水星,Mercury,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアの知性・公的な思考,水星が第10ハウスにある人は、キャリアと公的な役割に知性を活かします。コミュニケーション能力がキャリアの成功に直結し、公的な発言と執筆で影響力を持ちます。,野心的・社会的・戦略的,公的で影響力のあるコミュニケーション
水星,Mercury,11,第11ハウス（友人・グループ・希望・社会的な目標）,社会的な知性・グループの思考,水星が第11ハウスにある人は、友人とグループ活動に知性を活かします。社会的なネットワークと情報共有に才能があり、革新的なアイデアでグループをリードします。,革新的・社会的・ネットワーク志向,グループ内での革新的なコミュニケーション
水星,Mercury,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,潜在意識の知性・霊的な思考,水星が第12ハウスにある人は、潜在意識と霊的な探求に知性を活かします。直感的な思考と夢からのメッセージに敏感で、隠れた知識と霊的な洞察を持ちます。,直感的・霊的・内省的,内省的で霊的なコミュニケーション
