id,name_en,name_ja,cusp_name_ja,natural_sign_ja,natural_ruler_ja,keywords_ja,area_of_life_ja,description_ja,house_type_ja
1,First House,第1ハウス,アセンダント（ASC）,牡羊座,火星,自己|外見|人格|第一印象|肉体|始まり,自己・外見・個性・身体・人生の始まり・第一印象,第1ハウスは「自己のハウス」と呼ばれ、外見・人格・第一印象・身体的特徴・人生への全体的なアプローチを示す。アセンダント（上昇サイン）はこのハウスのカスプにあり、他者からどのように見られるかを示す「仮面」の役割を果たす。このハウスに天体があると、その天体の性質が外見や人格に強く表れる。,アンギュラー（活動的）
2,Second House,第2ハウス,なし,牡牛座,金星,お金|所有物|価値観|自己価値|資源|物質的安全,金銭・所有物・価値観・自己価値・物質的資源,第2ハウスは「価値のハウス」と呼ばれ、金銭・所有物・物質的価値観・自己価値感を示す。このハウスは何を大切にするか、どのようにお金を稼ぎ使うか、物質的な安全をどのように求めるかを教えてくれる。第2ハウスの天体は、財政的なパターンと価値観に影響を与える。,サクシーデント（継続的）
3,Third House,第3ハウス,なし,双子座,水星,コミュニケーション|兄弟姉妹|短距離旅行|学習|文章|近隣|思考,コミュニケーション・兄弟姉妹・短距離旅行・初等教育・文章・近隣,第3ハウスは「コミュニケーションのハウス」と呼ばれ、日常的なコミュニケーション・兄弟姉妹・短距離旅行・初等教育・文章を示す。このハウスは思考スタイル・情報の処理と共有方法・近隣や兄弟との関係を教えてくれる。,ケーデント（変化的）
4,Fourth House,第4ハウス,IC（天底）,蟹座,月,家庭|家族|ルーツ|母親|幼少期|内的基盤|不動産,家庭・家族・ルーツ・幼少期・内的基盤・不動産・晩年,第4ハウスは「家庭のハウス」と呼ばれ、家庭・家族・ルーツ・幼少期・内的な基盤を示す。IC（天底）はこのハウスのカスプにあり、チャートの最も深い個人的な部分を示す。このハウスは家族との関係・幼少期の経験・心理的な基盤・晩年の生活を教えてくれる。,アンギュラー（活動的）
5,Fifth House,第5ハウス,なし,獅子座,太陽,創造性|恋愛|子供|遊び|自己表現|娯楽|ギャンブル,創造性・恋愛・子供・遊び・自己表現・芸術・娯楽,第5ハウスは「創造と喜びのハウス」と呼ばれ、創造性・恋愛・子供・遊び・自己表現を示す。このハウスは楽しみ・趣味・芸術的才能・恋愛のスタイル・子供との関係を教えてくれる。第5ハウスの天体は、創造的な表現と喜びの追求に影響を与える。,サクシーデント（継続的）
6,Sixth House,第6ハウス,なし,乙女座,水星,健康|仕事|日課|奉仕|食事|ペット|同僚,健康・日常業務・奉仕・食事・ペット・同僚・ルーティン,第6ハウスは「健康と奉仕のハウス」と呼ばれ、健康・日常的な仕事・奉仕・ルーティンを示す。このハウスは身体的な健康状態・職場環境・日々の習慣・奉仕の精神を教えてくれる。第6ハウスの天体は、健康と日常業務のパターンに影響を与える。,ケーデント（変化的）
7,Seventh House,第7ハウス,ディセンダント（DSC）,天秤座,金星,パートナーシップ|結婚|公然の敵|契約|一対一の関係|バランス,結婚・パートナーシップ・契約・公然の敵・一対一の関係,第7ハウスは「パートナーシップのハウス」と呼ばれ、結婚・長期パートナーシップ・契約・公然の敵を示す。ディセンダントはこのハウスのカスプにあり、引き寄せるパートナーの資質を示す。このハウスは恋愛・ビジネスパートナーとの関係パターンを教えてくれる。,アンギュラー（活動的）
8,Eighth House,第8ハウス,なし,蠍座,冥王星（現代）、火星（伝統）,変容|死と再生|共有資源|性|オカルト|遺産|深層心理,変容・死と再生・共有資源・遺産・深層心理・オカルト・性,第8ハウスは「変容のハウス」と呼ばれ、変容・死と再生・共有資源・深層心理・オカルトを示す。このハウスは他者との深い結びつき・タブー・隠れた力・心理的な深みを教えてくれる。第8ハウスの天体は、変容と深層心理のテーマに影響を与える。,サクシーデント（継続的）
9,Ninth House,第9ハウス,なし,射手座,木星,哲学|高等教育|長距離旅行|宗教|法律|出版|信念,哲学・高等教育・長距離旅行・宗教・法律・出版・信念体系,第9ハウスは「哲学と探求のハウス」と呼ばれ、高等教育・哲学・宗教・長距離旅行・出版を示す。このハウスは世界観・信念体系・高次の学び・外国文化への関心を教えてくれる。第9ハウスの天体は、精神的な探求と世界観に影響を与える。,ケーデント（変化的）
10,Tenth House,第10ハウス,MC（天頂）,山羊座,土星,キャリア|公的イメージ|名声|権威|父親像|野心|社会的地位,キャリア・公的イメージ・名声・権威・社会的地位・使命,第10ハウスは「キャリアと公的イメージのハウス」と呼ばれ、職業・社会的地位・公的な評判・権威を示す。MC（天頂）はこのハウスのカスプにあり、人生の最高点と社会的な使命を示す。このハウスは職業的な目標・社会での役割・父親との関係を教えてくれる。,アンギュラー（活動的）
