planet,planet_en,sign,sign_en,keyword,action_style,anger_style,sexuality,drive,strengths,weaknesses,dignity
火星,Mars,牡羊座,Aries,直接的・衝動的・先駆的なエネルギー,即座に行動する。考えるより先に動く。競争と挑戦でエネルギーが高まる。,素早く激しく怒るが、すぐに忘れる。怒りを直接表現する。,情熱的で積極的。直接的なアプローチ。,競争・挑戦・新しいことの開始,行動力・勇気・先駆性,衝動的・短気・無謀,ドミサイル（支配）・エグザルテーション（高揚）
火星,Mars,牡牛座,Taurus,粘り強い・感覚的・着実なエネルギー,ゆっくりと着実に行動する。一度始めたことは最後までやり遂げる。,怒りを長く溜め込む。爆発すると激しい。,官能的でゆっくりと深い。感覚的な快楽を重視する。,物質的な豊かさ・安定・感覚的な満足,粘り強さ・安定したエネルギー・実用性,頑固・変化への抵抗・怒りの溜め込み,なし（ペレグリン）
火星,Mars,双子座,Gemini,知的・多才・言葉のエネルギー,複数のことを同時進行させる。知的な活動でエネルギーを発揮する。,言葉で戦う。皮肉や論争で怒りを表現する。,知的な刺激を求める。言葉と会話が重要。,知識・コミュニケーション・多様性,知的な行動力・多才・コミュニケーション,エネルギーの分散・一貫性のなさ・言葉の武器化,なし（ペレグリン）
火星,Mars,蟹座,Cancer,感情的・保護的・間接的なエネルギー,感情と直感で行動する。大切な人を守るために強いエネルギーを発揮する。,感情的に傷つき、受動的攻撃性として表れることが多い。,感情的な安全と繋がりを求める。,家族の保護・感情的な安全・過去との繋がり,保護本能・感情的な強さ・直感的な行動,受動的攻撃性・気分によるエネルギーの波・間接的な表現,フォール（失墜）
火星,Mars,獅子座,Leo,創造的・ドラマチック・誇り高いエネルギー,創造的な表現と自己表現でエネルギーを発揮する。舞台の上で輝く。,プライドが傷つくと激しく怒る。ドラマチックな怒りの表現。,情熱的でロマンティック。特別感と承認を求める。,創造的な表現・承認・舞台での輝き,創造的なエネルギー・情熱・リーダーシップ,傲慢・承認欲求・プライドによる行動,なし（ペレグリン）
火星,Mars,乙女座,Virgo,分析的・精密・奉仕的なエネルギー,細部まで分析してから行動する。実用的で効率的な方法で目標を達成する。,批判と分析で怒りを表現する。内向きの怒りが健康問題として現れることも。,技術的な完璧さを求める。実用的で分析的なアプローチ。,改善・効率・奉仕・完璧さ,精密さ・効率性・問題解決能力,過度な批判・完璧主義による麻痺・内向きの怒り,なし（ペレグリン）
火星,Mars,天秤座,Libra,外交的・バランス・協調的なエネルギー,協力と協調を通じて行動する。対立を避けながら目標を達成する。,怒りを直接表現せず、受動的攻撃性として現れる。,ロマンティックで美的。パートナーとの調和を求める。,調和・公正さ・パートナーシップ,外交力・協調性・バランスのとれた行動,優柔不断・受動的攻撃性・行動の遅さ,デトリメント（障害）
火星,Mars,蠍座,Scorpio,強烈・変容的・戦略的なエネルギー,深く戦略的に行動する。目標に向かって執念深く追求する。,怒りを内に溜め込み、冷静に復讐を計画する。,深く変容的。強烈な感情的・肉体的な繋がりを求める。,変容・権力・深い真実の探求,意志力・戦略的思考・変容力,執念深さ・復讐心・支配欲,ドミサイル（伝統的支配）
火星,Mars,射手座,Sagittarius,自由・冒険・哲学的なエネルギー,大きなビジョンに向かって自由に行動する。冒険と探求でエネルギーが高まる。,率直に怒りを表現するが、すぐに忘れる。哲学的な議論で怒りを発散する。,自由で冒険的。新しい体験と知的な刺激を求める。,自由・冒険・哲学的な真理,楽観的なエネルギー・冒険心・大きなビジョン,無責任・衝動的・細部への注意不足,なし（ペレグリン）
火星,Mars,山羊座,Capricorn,野心的・規律・長期的なエネルギー,長期的な目標に向かって着実に努力する。規律と自制でエネルギーを管理する。,怒りを内に秘め、冷静に対処する。感情的な爆発は少ない。,コントロールされていて責任感がある。長期的な関係を重視する。,社会的達成・権威・長期的な目標,規律・持続力・戦略的な行動,冷淡・感情の抑圧・仕事中毒,エグザルテーション（高揚）
火星,Mars,水瓶座,Aquarius,革新的・独立・人道的なエネルギー,革新的で独自の方法で行動する。社会変革のためにエネルギーを使う。,冷静で知的な怒りの表現。社会的な不正義に対して強く反応する。,実験的で非伝統的。知的な繋がりを重視する。,革新・自由・社会変革,独創性・革新的行動・人道的なエネルギー,反抗的・感情的な距離感・非現実的,なし（ペレグリン）
火星,Mars,魚座,Pisces,直感的・霊的・拡散したエネルギー,直感と霊感で行動する。明確な目標より流れに従う傾向がある。,怒りを直接表現せず、逃避や受動的攻撃性として現れる。,霊的で感情的な繋がりを求める。境界線が薄い。,霊的な成長・芸術的な表現・慈悲,直感的な行動・芸術的エネルギー・共感力,エネルギーの方向性のなさ・逃避傾向・境界線の薄さ,デトリメント（障害）
