planet,planet_en,sign,sign_en,keyword,growth_theme,luck_area,expansion,wisdom,generation_theme,dignity
木星,Jupiter,牡羊座,Aries,開拓的な成長・先駆的な幸運,新しいことを始めることで成長する。先駆者として道を切り開くことに幸運が宿る。,新規事業・スポーツ・リーダーシップ・個人的な挑戦,自己主張と独立によって拡大する。,行動することが知恵の源。経験から学ぶ。,（木星牡羊座世代）新しい時代を切り開く先駆者世代。,なし（ペレグリン）
木星,Jupiter,牡牛座,Taurus,物質的な豊かさ・感覚的な成長,物質的な豊かさと感覚的な体験を通じて成長する。,財務・農業・芸術・食・不動産,安定した基盤を築くことで豊かさが拡大する。,自然と感覚を通じた実践的な知恵。,（木星牡牛座世代）物質的な豊かさと持続可能性を重視する世代。,なし（ペレグリン）
木星,Jupiter,双子座,Gemini,知識の拡大・コミュニケーションの幸運,多様な知識とコミュニケーションを通じて成長する。,教育・メディア・出版・旅行・コミュニケーション,情報の共有と多様な学びによって拡大する。,多様な視点と経験から生まれる知恵。,（木星双子座世代）情報化社会で多様な知識を持つ世代。,デトリメント（障害）
木星,Jupiter,蟹座,Cancer,感情的な成長・家族の幸運,感情的な成熟と家族の絆を通じて成長する。,家族・不動産・食・ケア・歴史,感情的な安全と家族の支援によって豊かさが拡大する。,感情と直感から生まれる知恵。過去の経験が宝となる。,（木星蟹座世代）家族と感情的な絆を大切にする世代。,エグザルテーション（高揚）
木星,Jupiter,獅子座,Leo,創造的な成長・表現の幸運,創造的な表現と自己表現を通じて成長する。,芸術・エンターテインメント・教育・子ども・リーダーシップ,創造性と自己表現によって豊かさが拡大する。,創造的な表現と遊びから生まれる知恵。,（木星獅子座世代）創造性と自己表現を重視する世代。,なし（ペレグリン）
木星,Jupiter,乙女座,Virgo,実用的な成長・奉仕の幸運,実用的なスキルと奉仕を通じて成長する。,健康・医療・農業・技術・奉仕,実用的な改善と奉仕によって豊かさが拡大する。,細部への注意と実用的な分析から生まれる知恵。,（木星乙女座世代）実用性と健康を重視する世代。,デトリメント（障害）
木星,Jupiter,天秤座,Libra,調和の成長・パートナーシップの幸運,パートナーシップと調和を通じて成長する。,法律・外交・芸術・パートナーシップ・美,協力と調和によって豊かさが拡大する。,バランスと公正さから生まれる知恵。,（木星天秤座世代）調和と公正さを重視する世代。,なし（ペレグリン）
木星,Jupiter,蠍座,Scorpio,変容的な成長・深い探求の幸運,深い変容と探求を通じて成長する。,投資・心理学・神秘学・変容・遺産,深い変容と再生によって豊かさが拡大する。,深い洞察と変容から生まれる知恵。,（木星蠍座世代）深い変容と探求を重視する世代。,なし（ペレグリン）
木星,Jupiter,射手座,Sagittarius,自由な成長・哲学的な幸運,自由な探求と哲学的な学びを通じて成長する。,旅行・高等教育・哲学・宗教・出版,自由と知恵の探求によって豊かさが拡大する。,広い視野と哲学的な探求から生まれる知恵。,（木星射手座世代）自由と哲学的な探求を重視する世代。,ドミサイル（支配）
木星,Jupiter,山羊座,Capricorn,社会的な成長・規律の幸運,規律と責任を通じて社会的な成長を遂げる。,ビジネス・政治・社会的地位・伝統,規律と着実な努力によって豊かさが拡大する。,経験と規律から生まれる実践的な知恵。,（木星山羊座世代）規律と社会的責任を重視する世代。,フォール（失墜）
木星,Jupiter,水瓶座,Aquarius,革新的な成長・人道的な幸運,革新と人道的な活動を通じて成長する。,科学技術・社会改革・友情・グループ活動,革新と人類への貢献によって豊かさが拡大する。,革新的な視点と人道的な活動から生まれる知恵。,（木星水瓶座世代）革新と人道主義を重視する世代。,なし（ペレグリン）
木星,Jupiter,魚座,Pisces,霊的な成長・慈悲の幸運,霊的な探求と慈悲を通じて成長する。,芸術・音楽・スピリチュアル・慈善活動・医療,霊的な成長と慈悲によって豊かさが拡大する。,直感と霊的な洞察から生まれる知恵。,（木星魚座世代）霊性と慈悲を重視する世代。,ドミサイル（伝統的支配）
