planet,planet_en,house,house_name,keyword,interpretation,ideal_area,illusion
海王星,Neptune,1,第1ハウス（自己・外見・人生の始まり）,霊的な自己・理想的な外見,海王星が第1ハウスにある人は、霊的で神秘的な雰囲気を持ちます。外見に夢幻的な魅力があり、感受性が非常に高い。自己アイデンティティが流動的で、環境に溶け込む能力があります。,自己・外見・霊的な存在,自己アイデンティティの曖昧さ・現実と幻想の混同
海王星,Neptune,2,第2ハウス（財産・価値観・自己価値）,財産の理想・豊かさへの夢,海王星が第2ハウスにある人は、財産と価値観に理想的なアプローチをとります。芸術・音楽・霊的な活動で収益を得ることができますが、財務管理に注意が必要です。,財産・価値観,財務管理の困難・お金への幻想
海王星,Neptune,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,霊的なコミュニケーション・直感的な思考,海王星が第3ハウスにある人は、直感的で霊的なコミュニケーションを持ちます。詩的な言語と芸術的な表現に才能があり、直感が思考の重要な要素となります。,コミュニケーション・思考,コミュニケーションの混乱・情報の曖昧さ
海王星,Neptune,4,第4ハウス（家族・家庭・ルーツ）,家族の理想・家庭への夢,海王星が第4ハウスにある人は、家族と家庭に理想的なイメージを持ちます。家庭環境に霊的な感受性があり、家族への深い共感と慈悲を持ちます。,家族・家庭・ルーツ,家族への幻想・家庭環境の混乱
海王星,Neptune,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造的な理想・恋愛への夢,海王星が第5ハウスにある人は、創造性と恋愛に理想的なアプローチをとります。芸術的な才能と理想的な恋愛への憧れが特徴です。,創造性・恋愛・子ども,恋愛への幻想・理想化されたロマンス
海王星,Neptune,6,第6ハウス（仕事・健康・日常・奉仕）,奉仕の理想・健康への夢,海王星が第6ハウスにある人は、仕事と健康に理想的なアプローチをとります。霊的な奉仕と癒しの仕事に才能があり、感受性が健康に影響します。,仕事・健康・奉仕,仕事への幻想・心身症的な健康問題
海王星,Neptune,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップの理想・関係への夢,海王星が第7ハウスにある人は、パートナーシップに理想的なアプローチをとります。魂の伴侶を求め、深い霊的な繋がりを持つパートナーを引き寄せます。,パートナーシップ・公的な関係,パートナーへの幻想・関係の理想化
海王星,Neptune,8,第8ハウス（変容・共有の資源・死と再生・性）,変容の理想・深い探求への夢,海王星が第8ハウスにある人は、変容と深い探求に理想的なアプローチをとります。神秘的な変容体験と深い霊的な探求が特徴です。,変容・深い探求,変容への幻想・神秘主義への溺れ
海王星,Neptune,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学の理想・信念への夢,海王星が第9ハウスにある人は、哲学と信念に理想的なアプローチをとります。霊的な哲学と宗教への深い関心を持ち、理想的な世界観を持ちます。,哲学・高等教育・信念,宗教への幻想・哲学的な理想主義
海王星,Neptune,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアの理想・社会的な夢,海王星が第10ハウスにある人は、キャリアと社会的地位に理想的なアプローチをとります。芸術・音楽・霊的な活動でのキャリアに向いており、社会的な理想を持ちます。,キャリア・社会的地位,キャリアへの幻想・社会的な理想主義
海王星,Neptune,11,第11ハウス（友人・グループ・希望・社会的な目標）,友人の理想・社会的な夢,海王星が第11ハウスにある人は、友人とグループ活動に理想的なアプローチをとります。人道的な理想と霊的なグループ活動に深い関心を持ちます。,友人・グループ・社会的目標,友人への幻想・社会的な理想主義
海王星,Neptune,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,霊的な理想・潜在意識への夢,海王星が第12ハウスにある人は、海王星のドミサイルである魚座を支配するハウスに位置し、最も強力に機能します。霊的な探求と潜在意識に深い理想と慈悲を持ちます。深い霊的な洞察と共感力が特徴です。,潜在意識・霊性・孤立,現実逃避・霊的な幻想・境界線の喪失
