planet,planet_en,house,house_name,keyword,interpretation,drive_area,action
火星,Mars,1,第1ハウス（自己・外見・人生の始まり）,強いエネルギー・自己主張,火星が第1ハウスにある人は、強いエネルギーと自己主張を持ちます。行動的で競争心が強く、人生に積極的に立ち向かいます。身体的なエネルギーが高く、スポーツや身体的な活動に向いています。,自己主張・身体的なエネルギー,積極的な自己表現と先駆的な行動
火星,Mars,2,第2ハウス（財産・価値観・自己価値）,物質的な野心・財産のための行動,火星が第2ハウスにある人は、物質的な豊かさのために積極的に行動します。財務的な野心が強く、自分の力で経済的な安定を築きます。お金のために戦う意志があります。,財産・経済的な野心,財務的な目標への積極的な行動
火星,Mars,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,知的な戦い・言葉のエネルギー,火星が第3ハウスにある人は、知的な議論と言葉で戦います。コミュニケーションに積極的で、議論と討論を楽しみます。兄弟との競争的な関係があることも。,知的な競争・コミュニケーション,積極的なコミュニケーションと知的な挑戦
火星,Mars,4,第4ハウス（家族・家庭・ルーツ）,家族の保護・家庭内の戦い,火星が第4ハウスにある人は、家族と家庭を守るために戦います。家庭内での対立が多い傾向がありますが、家族への強い保護本能を持ちます。,家族の保護・家庭内のエネルギー,家族を守るための積極的な行動
火星,Mars,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造的なエネルギー・恋愛の情熱,火星が第5ハウスにある人は、創造的な表現と恋愛に強いエネルギーを注ぎます。情熱的な恋愛と創造的な挑戦に喜びを感じます。スポーツや競技に才能があります。,創造的な情熱・恋愛のエネルギー,創造的な表現と情熱的な恋愛
火星,Mars,6,第6ハウス（仕事・健康・日常・奉仕）,仕事への情熱・健康への行動,火星が第6ハウスにある人は、仕事に強いエネルギーと情熱を注ぎます。勤勉で効率的な働き方をし、健康管理に積極的です。職場での競争や対立が生じやすい面もあります。,仕事への情熱・健康管理,効率的な仕事と積極的な健康管理
火星,Mars,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップの競争・関係への情熱,火星が第7ハウスにある人は、パートナーシップに強いエネルギーを注ぎます。情熱的なパートナーを引き寄せる一方、関係での対立も多い。競争的なパートナーとの関係が刺激になります。,パートナーシップへの情熱,関係性への積極的な投資と競争
火星,Mars,8,第8ハウス（変容・共有の資源・死と再生・性）,変容への情熱・深い探求のエネルギー,火星が第8ハウスにある人は、変容と深い探求に強いエネルギーを注ぎます。性的なエネルギーが強く、深い変容を求めます。共有の資源と遺産に関して積極的に行動します。,変容・性的エネルギー・深い探求,変容への積極的な取り組みと深い探求
火星,Mars,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学的な情熱・冒険のエネルギー,火星が第9ハウスにある人は、哲学と冒険に強いエネルギーを注ぎます。旅行・高等教育・哲学的な探求に情熱を燃やします。信念のために戦う意志があります。,哲学的な情熱・冒険,哲学的な探求と冒険への積極的な行動
火星,Mars,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアへの野心・社会的な戦い,火星が第10ハウスにある人は、キャリアと社会的地位に強いエネルギーと野心を持ちます。競争的なキャリアで成功し、社会的な目標のために積極的に行動します。,キャリアへの野心・社会的な競争,キャリアへの積極的な投資と社会的な目標の追求
火星,Mars,11,第11ハウス（友人・グループ・希望・社会的な目標）,社会的な行動・友人への情熱,火星が第11ハウスにある人は、社会的な目標と友人グループに強いエネルギーを注ぎます。社会変革のために積極的に行動し、グループのリーダーとして活躍します。,社会的な行動・グループのエネルギー,社会変革への積極的な行動
火星,Mars,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,隠れたエネルギー・霊的な戦い,火星が第12ハウスにある人は、エネルギーが潜在意識の深いところに隠れています。隠れた敵や自己破壊的なパターンに注意が必要です。霊的な探求と内面の戦いに強いエネルギーを持ちます。,潜在的なエネルギー・霊的な戦い,内面の探求と潜在的なエネルギーの活用
