planet,planet_en,house,house_name,keyword,interpretation,revolution_area,unexpected
天王星,Uranus,1,第1ハウス（自己・外見・人生の始まり）,革新的な自己・予測不能な個性,天王星が第1ハウスにある人は、革新的で予測不能な個性を持ちます。独自のスタイルと反権威的な態度が特徴で、社会の常識に縛られない自由な自己表現を求めます。,自己・個性・外見,突然の外見の変化・予測不能な行動パターン
天王星,Uranus,2,第2ハウス（財産・価値観・自己価値）,財産の革新・価値観の変革,天王星が第2ハウスにある人は、財産と価値観に革新的なアプローチをとります。突然の財政的な変化（急な収入増または減）が起こりやすく、革新的な方法で収益を得ます。,財産・価値観,突然の財政的変化・革新的な収益方法
天王星,Uranus,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,革新的なコミュニケーション・天才的な思考,天王星が第3ハウスにある人は、革新的で天才的な思考を持ちます。独創的なコミュニケーションスタイルと突破口を開くアイデアが特徴です。,コミュニケーション・思考,突然のひらめき・革新的なコミュニケーション
天王星,Uranus,4,第4ハウス（家族・家庭・ルーツ）,家族の革新・家庭の変革,天王星が第4ハウスにある人は、家族と家庭に革新的な変化をもたらします。非伝統的な家族構造と突然の引越しが多い。家庭に自由と独立を求めます。,家族・家庭・ルーツ,突然の引越し・非伝統的な家族構造
天王星,Uranus,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造性の革新・恋愛の自由,天王星が第5ハウスにある人は、創造性と恋愛に革新的なアプローチをとります。非伝統的な恋愛スタイルと独創的な創造的表現が特徴です。,創造性・恋愛・子ども,突然の恋愛の始まりと終わり・革新的な創造的表現
天王星,Uranus,6,第6ハウス（仕事・健康・日常・奉仕）,仕事の革新・健康の変革,天王星が第6ハウスにある人は、仕事と健康に革新的なアプローチをとります。非伝統的な働き方と健康管理法を好み、職場での革新的な改善を推進します。,仕事・健康・日常,突然の職場の変化・革新的な健康管理法
天王星,Uranus,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップの革新・関係の自由,天王星が第7ハウスにある人は、パートナーシップに革新的な自由を求めます。非伝統的な関係スタイルと突然のパートナーシップの変化が特徴です。,パートナーシップ・公的な関係,突然の出会いと別れ・非伝統的な関係スタイル
天王星,Uranus,8,第8ハウス（変容・共有の資源・死と再生・性）,変容の革新・深い探求の自由,天王星が第8ハウスにある人は、変容と深い探求に革新的なアプローチをとります。突然の変容体験と革新的な深い探求が特徴です。,変容・共有の資源・深い探求,突然の変容体験・革新的な深い探求
天王星,Uranus,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学の革新・信念の自由,天王星が第9ハウスにある人は、哲学と信念に革新的なアプローチをとります。非伝統的な信念システムと突然の哲学的な覚醒が特徴です。,哲学・高等教育・旅行,突然の哲学的覚醒・非伝統的な信念システム
天王星,Uranus,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアの革新・社会的変革,天王星が第10ハウスにある人は、キャリアと社会的地位に革新的な変化をもたらします。突然のキャリアの変化と革新的な職業選択が特徴です。,キャリア・社会的地位,突然のキャリア変化・革新的な職業
天王星,Uranus,11,第11ハウス（友人・グループ・希望・社会的な目標）,友人の革新・社会変革の推進,天王星が第11ハウスにある人は、天王星のドミサイルである水瓶座を支配するハウスに位置し、最も強力に機能します。友人とグループ活動に革新的なエネルギーを注ぎ、社会変革のリーダーとなります。,友人・グループ・社会的目標,革新的な友人グループ・突然の社会変革
天王星,Uranus,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,潜在意識の革新・霊的な覚醒,天王星が第12ハウスにある人は、潜在意識と霊的な探求に革新的な覚醒をもたらします。突然の霊的な洞察と潜在意識の革新的な変化が特徴です。,潜在意識・霊性・孤立,突然の霊的覚醒・潜在意識の革新的変化
