planet,planet_en,sign,sign_en,years,keyword,generation_theme,world_events,collective_ideal,illusion,dignity
海王星,Neptune,牡羊座,Aries,1861-1875,個人の理想・英雄的な夢,個人の理想と英雄主義への集合的な夢。,南北戦争・国家統一の理想・個人の英雄主義の台頭,個人の力と英雄的な行動による理想社会の実現,個人の力への過信・英雄主義の幻想,なし（ペレグリン）
海王星,Neptune,牡牛座,Taurus,1875-1889,物質的な理想・豊かさの夢,物質的な豊かさと安定への集合的な夢。,産業革命の深化・物質的な豊かさの理想・ロマン主義の芸術,物質的な豊かさを通じた理想社会,物質主義への幻想・豊かさで全てが解決するという誤解,なし（ペレグリン）
海王星,Neptune,双子座,Gemini,1889-1902,コミュニケーションの理想・情報の夢,コミュニケーションと情報への集合的な夢。,電話・ラジオの発明・情報革命の始まり,情報の自由な流通による理想社会,情報が全てを解決するという幻想,なし（ペレグリン）
海王星,Neptune,蟹座,Cancer,1902-1916,家族・故郷の理想・民族の夢,家族・故郷・民族への集合的な夢。,第一次世界大戦・民族主義の台頭・家族の理想化,家族と故郷の保護による理想社会,民族主義の幻想・家族の理想化,なし（ペレグリン）
海王星,Neptune,獅子座,Leo,1916-1929,創造性・娯楽の理想・スターの夢,創造性・娯楽・スターダムへの集合的な夢。,ハリウッドの黄金時代・ジャズ時代・スターシステムの確立,芸術と娯楽による理想社会,スターダムと娯楽への過度な依存,なし（ペレグリン）
海王星,Neptune,乙女座,Virgo,1929-1943,奉仕・健康の理想・完璧な社会の夢,奉仕・健康・完璧な社会への集合的な夢。,大恐慌・第二次世界大戦・社会主義の理想,完璧な社会システムと奉仕による理想社会,完璧主義の幻想・社会システムへの過度な信頼,なし（ペレグリン）
海王星,Neptune,天秤座,Libra,1943-1957,平和・調和の理想・愛の夢,平和・調和・愛への集合的な夢。,国連設立・平和運動・愛と調和の理想（ベビーブーマー世代）,愛と調和による平和な世界,平和主義の幻想・調和への過度な期待,なし（ペレグリン）
海王星,Neptune,蠍座,Scorpio,1957-1970,変容・性・神秘の理想,変容・性・神秘への集合的な夢。,性革命・ドラッグカルチャー・神秘主義の台頭,深い変容と解放による理想社会,変容への過度な期待・神秘主義の幻想,なし（ペレグリン）
海王星,Neptune,射手座,Sagittarius,1970-1984,自由・哲学・グローバルな理想,自由・哲学・グローバルな統一への集合的な夢。,ニューエイジ運動・グローバル化の理想・宗教的多様性,自由と哲学的な知恵による理想世界,グローバル化の幻想・精神的な自由への過度な期待,なし（ペレグリン）
海王星,Neptune,山羊座,Capricorn,1984-1998,社会構造・権威の理想,社会構造と権威の再定義への集合的な夢。,冷戦終結・グローバル経済の理想・社会システムの変革,効率的な社会システムによる理想社会,社会システムへの過度な信頼・経済的な理想主義,なし（ペレグリン）
海王星,Neptune,水瓶座,Aquarius,1998-2012,テクノロジー・人道主義の理想,テクノロジーと人道主義による理想世界への集合的な夢。,インターネット革命・SNS・グローバルな人道主義運動,テクノロジーによる人類の統一と解放,テクノロジーが全てを解決するという幻想,なし（ペレグリン）
海王星,Neptune,魚座,Pisces,2012-2026,霊性・慈悲の理想・普遍的な愛の夢,霊性・慈悲・普遍的な愛への集合的な夢。,スピリチュアルブームの深化・気候変動への集合的な意識・VRと現実の融合,霊的な覚醒と普遍的な愛による理想世界,霊的な逃避・現実からの解離・幻想への溺れ,ドミサイル（支配）
